Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,100,India,5142,Food,2909,Sugar & Sweeteners,2016,2016,1000 tonnes,29211,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2909,Sugar & Sweeteners,2017,2017,1000 tonnes,24835,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2909,Sugar & Sweeteners,2014,2014,kg,21.2,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2909,Sugar & Sweeteners,2015,2015,kg,22.62,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2909,Sugar & Sweeteners,2016,2016,kg,22.05,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2909,Sugar & Sweeteners,2017,2017,kg,18.55,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2909,Sugar & Sweeteners,2014,2014,kcal/capita/day,205,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2909,Sugar & Sweeteners,2015,2015,kcal/capita/day,219,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2909,Sugar & Sweeteners,2016,2016,kcal/capita/day,213,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2909,Sugar & Sweeteners,2017,2017,kcal/capita/day,180,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2909,Sugar & Sweeteners,2014,2014,g/capita/day,0.06,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2909,Sugar & Sweeteners,2015,2015,g/capita/day,0.06,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2909,Sugar & Sweeteners,2016,2016,g/capita/day,0.06,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2909,Sugar & Sweeteners,2017,2017,g/capita/day,0.06,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2909,Sugar & Sweeteners,2014,2014,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2909,Sugar & Sweeteners,2015,2015,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2909,Sugar & Sweeteners,2016,2016,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2909,Sugar & Sweeteners,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2911,Pulses,2014,2014,1000 tonnes,19605,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2911,Pulses,2015,2015,1000 tonnes,20010,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2911,Pulses,2016,2016,1000 tonnes,19901,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2911,Pulses,2017,2017,1000 tonnes,22331,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2911,Pulses,2014,2014,kg,15.13,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2911,Pulses,2015,2015,kg,15.27,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2911,Pulses,2016,2016,kg,15.02,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2911,Pulses,2017,2017,kg,16.68,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2911,Pulses,2014,2014,kcal/capita/day,144,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2911,Pulses,2015,2015,kcal/capita/day,145,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2911,Pulses,2016,2016,kcal/capita/day,142,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2911,Pulses,2017,2017,kcal/capita/day,158,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2911,Pulses,2014,2014,g/capita/day,8.49,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2911,Pulses,2015,2015,g/capita/day,8.6,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2911,Pulses,2016,2016,g/capita/day,8.49,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2911,Pulses,2017,2017,g/capita/day,9.42,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2911,Pulses,2014,2014,g/capita/day,1.23,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2911,Pulses,2015,2015,g/capita/day,1.2,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2911,Pulses,2016,2016,g/capita/day,1.13,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2911,Pulses,2017,2017,g/capita/day,1.26,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2912,Treenuts,2014,2014,1000 tonnes,2052,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2912,Treenuts,2015,2015,1000 tonnes,2274,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2912,Treenuts,2016,2016,1000 tonnes,1960,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2912,Treenuts,2017,2017,1000 tonnes,2170,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2014,2014,kg,1.58,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2015,2015,kg,1.74,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2016,2016,kg,1.48,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2017,2017,kg,1.62,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2912,Treenuts,2014,2014,kcal/capita/day,9,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2912,Treenuts,2015,2015,kcal/capita/day,10,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2912,Treenuts,2016,2016,kcal/capita/day,9,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2912,Treenuts,2017,2017,kcal/capita/day,10,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2912,Treenuts,2014,2014,g/capita/day,0.23,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2912,Treenuts,2015,2015,g/capita/day,0.25,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2912,Treenuts,2016,2016,g/capita/day,0.22,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2912,Treenuts,2017,2017,g/capita/day,0.24,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2912,Treenuts,2014,2014,g/capita/day,0.55,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2912,Treenuts,2015,2015,g/capita/day,0.58,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2912,Treenuts,2016,2016,g/capita/day,0.5,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2912,Treenuts,2017,2017,g/capita/day,0.57,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2913,Oilcrops,2014,2014,1000 tonnes,9697,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2913,Oilcrops,2015,2015,1000 tonnes,9529,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2913,Oilcrops,2016,2016,1000 tonnes,9830,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2913,Oilcrops,2017,2017,1000 tonnes,10350,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2014,2014,kg,7.48,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2015,2015,kg,7.27,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2016,2016,kg,7.42,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2017,2017,kg,7.73,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2913,Oilcrops,2014,2014,kcal/capita/day,45,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2913,Oilcrops,2015,2015,kcal/capita/day,42,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2913,Oilcrops,2016,2016,kcal/capita/day,46,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2913,Oilcrops,2017,2017,kcal/capita/day,49,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2913,Oilcrops,2014,2014,g/capita/day,1.26,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2913,Oilcrops,2015,2015,g/capita/day,1.2,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2913,Oilcrops,2016,2016,g/capita/day,1.38,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2913,Oilcrops,2017,2017,g/capita/day,1.46,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2913,Oilcrops,2014,2014,g/capita/day,3.93,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2913,Oilcrops,2015,2015,g/capita/day,3.64,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2913,Oilcrops,2016,2016,g/capita/day,4.03,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2913,Oilcrops,2017,2017,g/capita/day,4.25,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2914,Vegetable Oils,2014,2014,1000 tonnes,9887,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2914,Vegetable Oils,2015,2015,1000 tonnes,9883,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2914,Vegetable Oils,2016,2016,1000 tonnes,10085,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2914,Vegetable Oils,2017,2017,1000 tonnes,10645,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2014,2014,kg,7.63,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2015,2015,kg,7.54,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2016,2016,kg,7.61,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2017,2017,kg,7.95,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2914,Vegetable Oils,2014,2014,kcal/capita/day,203,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2914,Vegetable Oils,2015,2015,kcal/capita/day,200,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2914,Vegetable Oils,2016,2016,kcal/capita/day,209,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2914,Vegetable Oils,2017,2017,kcal/capita/day,219,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2914,Vegetable Oils,2014,2014,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2914,Vegetable Oils,2015,2015,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2914,Vegetable Oils,2016,2016,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2914,Vegetable Oils,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2914,Vegetable Oils,2014,2014,g/capita/day,22.96,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2914,Vegetable Oils,2015,2015,g/capita/day,22.67,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2914,Vegetable Oils,2016,2016,g/capita/day,23.64,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2914,Vegetable Oils,2017,2017,g/capita/day,24.76,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2918,Vegetables,2014,2014,1000 tonnes,104475,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2918,Vegetables,2015,2015,1000 tonnes,98880,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2918,Vegetables,2016,2016,1000 tonnes,101799,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2918,Vegetables,2017,2017,1000 tonnes,106904,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2014,2014,kg,80.64,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2015,2015,kg,75.47,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2016,2016,kg,76.86,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2017,2017,kg,79.86,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2918,Vegetables,2014,2014,kcal/capita/day,56,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2918,Vegetables,2015,2015,kcal/capita/day,54,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2918,Vegetables,2016,2016,kcal/capita/day,55,Fc,Calculated data
